ADS ,Alliance Data Systems
 GILD ,Gilead Sciences
 AAPL ,Apple
 BMY ,Bristol-Myers Squibb Co
 MSFT ,Microsoft
 ON ,ON Semiconductor
 HBI ,Hanesbrands
 LCI ,Lannett Co
 TEVA ,Teva Pharmaceutical
 MCK ,McKesson
 UNH ,UnitedHealth Group
 RUSHA ,Rush Enterprises
 CE ,Celanese Corporation
 NSR ,Neustar
 BIIB ,Biogen
 ALGT ,Allegiant Travel Company
 OLED ,Universal Display
 SLB ,Schlumberger N.V.
 CYH ,Community Health Systems
 HAL ,Halliburton Company
 NLY ,Annaly Capital
 RUSHB ,Rush Enterprises
 CELG ,Celgene Corporation
 PFE ,Pfizer
 BWP ,Boardwalk Pipeline
 BXE ,Bellatrix Exploration
 AXL ,American Axle
 AB ,AllianceBernstein
 GLNG ,Golar LNG
 ACAS ,American Capital
 DSPG ,DSP Group
 QUIK ,QuickLogic
 GTIM ,Good Times Restaurants
 BHI ,Baker Hughes
 TOO ,Teekay Offshore Partners
 SHLD ,Sears Holdings
 AN ,AutoNation
 IBM ,International Business Machines
 GPS ,"Gap, Inc."
 STX ,Seagate Technology
 FOSL ,Fossil Group
 BAM ,Brookfield Asset Management
 BRK.B ,Berkshire Hathaway Class B
 AME ,AMETEK
 SCHW ,Charles Schwab
 WFC ,Wells Fargo
 LBTYK ,Liberty Global
 CCK ,Crown Holdings
 USB ,U.S. Bancorp
 VRX ,Valeant Pharmaceuticals
 BRK.A ,Berkshire Hathaway Class A
 BRO ,Brown & Brown
 LKQ ,LKQ
 AMG ,Affiliated Managers Group
 PRGO ,Perrigo Company
 MHK ,Mohawk Industries
 JLL ,Jones Lang LaSalle
 SRCL ,Stericycle
 FMC ,FMC Corporation
 AME ,"AMETEK, Inc."
 CERN ,Cerner Corporation
 EWBC ,East West Bancorp
 TRMB ,Trimble
 VAL ,Valspar Corporation
 MAT ,Mattel
 PLL ,Pall Corporation
 SBAC ,SBA Communications Corporation
 BOH ,Bank of Hawaii Corporation
 XRAY ,DENTSPLY SIRONA
 WSO ,"Watsco, Inc."
 MLHR ,"Herman Miller, Inc."
 JBHT ,J.B. Hunt Transport Services
 ROL ,Rollins
 WWD ,Woodward
 FTI ,FMC Technologies
 CLB ,Core Laboratories
 KEX ,Kirby Corporation
 AZO ,AutoZone
 CTXS ,Citrix Systems
 EW ,Edwards Lifesciences
 DSW ,DSW Inc.
 SBH ,Sally Beauty Holdings
 ANSS ,ANSYS
 BBBY ,Bed Bath & Beyond
 IDXX ,IDEXX Laboratories
 IDXX ,IDEXX Laboratories
 PETM ,Petsmart Inc.
 NBL ,Noble Energy Inc.
 ZBRA ,Zebra Technologies
 BC ,Brunswick Corporation
 PKI ,PerkinElmer
 CBRL ,Cracker Barrel Old Country
 GWR ,Genesee & Wyoming Inc.
 DLTR ,"Dollar Tree,"
 COH ,Coach
 HE ,Hawaiian Electric Industries
 INT ,World Fuel Services Corporation
 HAE ,Haemonetics Corporation Common 
 HURN ,Huron Consulting Group
 VRNT ,Verint Systems Inc.
 AJG ,Arthur J. Gallagher
 MCRS ,Micros Systems
 BYI ,Bally Technologies
 SCS ,Steelcase Inc.
 RCL ,Royal Caribbean Cruises Ltd.
 EOG ,EOG Resources Inc.
 UNP ,Union Pacific Corporation
 CMP ,Compass Minerals Intl
 PII ,Polaris Industries Inc.
 FLO ,Flowers Foods Inc.
 FLIR ,FLIR Systems Inc.
 EXPD ,Expeditors International
 GIL ,Gildan Activewear Inc.
 POWI ,Power Integrations Inc.
 PHG ,Koninklijke Philips
 FLS ,Flowserve Corporation
 LII ,Lennox International
 LLTC ,Linear Technology Corporation
 ASB ,Associated Banc-Corp
 ORB ,Orbotech Corporation
